num_entries,test_id,runtime,color,correct_answer,given_answer,notes,retrieved_tokens,retrieved_quotes
100,100_colors_red,16,red,4,4,,147,4
100,100_colors_blue,19,blue,5,4,,722,4
100,100_colors_green,12,green,1,1,,55,1
100,100_colors_yellow,17,yellow,4,4,,388,4
100,100_colors_orange,6,orange,2,2,,141,1
100,100_colors_purple,19,purple,7,7,,144,7
100,100_colors_pink,5,pink,3,1,,38,1
100,100_colors_white,16,white,4,4,,139,4
100,100_colors_cyan,16,cyan,6,5,,191,5
100,100_colors_magenta,22,magenta,10,9,,298,8
1000,1000_colors_red,21,red,31,8,,292,8
1000,1000_colors_blue,25,blue,30,10,,250,10
1000,1000_colors_green,25,green,37,7,,261,7
1000,1000_colors_yellow,28,yellow,38,9,,333,9
1000,1000_colors_orange,24,orange,28,10,,374,10
1000,1000_colors_purple,32,purple,43,11,,475,12
1000,1000_colors_pink,8,pink,41,1,,150,1
1000,1000_colors_white,44,white,36,12,,732,13
1000,1000_colors_cyan,22,cyan,40,11,,412,11
1000,1000_colors_magenta,28,magenta,37,11,,416,11
10000,10000_colors_blue,40,blue,385,15,,553,15
10000,10000_colors_green,32,green,413,18,,692,18
10000,10000_colors_yellow,32,yellow,385,17,,634,17
10000,10000_colors_orange,60,orange,375,9,,342,9
10000,10000_colors_purple,28,purple,389,18,,674,18
10000,10000_colors_pink,40,pink,393,9,,1003,9
10000,10000_colors_white,52,white,396,20,,749,20
10000,10000_colors_cyan,39,cyan,419,17,,627,17
10000,10000_colors_magenta,27,magenta,415,10,,374,10
50000,50000_colors_red,55,red,1996,25,,574,25
50000,50000_colors_blue,31,blue,1915,19,,704,19
50000,50000_colors_green,47,green,2030,19,,734,19
50000,50000_colors_yellow,33,yellow,2014,16,,2563,16
50000,50000_colors_orange,30,orange,1931,9,,614,6
50000,50000_colors_purple,75,purple,2022,23,,2238,23
50000,50000_colors_pink,41,pink,1997,16,,638,17
50000,50000_colors_white,13,white,1999,3,,115,3
50000,50000_colors_cyan,56,cyan,2021,23,,857,23
50000,50000_colors_magenta,24,magenta,2048,12,,1280,12
